"Date","IE 8.0","Chrome (all)","IE 7.0","Firefox 3.6","Firefox 5+","IE 9.0","IE 6.0","Firefox 3.5","Firefox 3.0","Safari 5.0","Firefox 4.0","Safari 5.1","Safari iPad","Safari 4.0","Firefox 2.0","Opera 11.6","Opera 9.6","Opera 10.6","Safari 6.0","Opera 11.5","Other"
2008,0.58,0.91,40.59,0,0,0,26.7,0,17.91,0,0,0,0,0,7.05,0,0.82,0,0,0,5.44
2009,11.86,3.27,29.27,0,0,0,18.55,9.36,18.78,0,0,0,0,1.71,1.98,0,1.46,0,0,0,3.76
2010,27.74,10.25,14.87,20.33,0,0.1,8.73,7.21,3.03,1.73,0.15,0,0.14,2.08,0.48,0,0.18,0.73,0,0,2.27
2011,27.17,21.08,6.61,13.19,8.4,5.64,3.49,1.35,0.84,2.99,4.22,0.96,0.79,0.33,0.17,0.08,0.05,0.11,0,0.59,1.94
2012,14.61,32.78,1.82,1.84,20.88,15.88,0.81,0.29,0.26,0.97,0.42,2.89,2.42,0.13,0.07,0.79,0.04,0.03,0.69,0.08,2.31
2013,11.06,36.42,0.74,0.54,20.49,17.62,0.34,0.1,0.12,0.65,0.18,1.89,3.45,0.09,0.04,0.08,0.01,0.02,2.14,0.03,3.99
