"Date","IE","Firefox","Chrome","Safari","Opera","Other"
2008,67.92,25.49,0.91,2.7,2.7,0.27
2009,59.71,30.48,3.27,3.1,2.62,0.83
2010,51.45,31.27,10.25,4.31,1.96,0.76
2011,42.93,28.2,21.08,5.33,1.84,0.62
2012,33.23,23.79,32.78,7.25,1.69,1.26
2013,30.7,21.49,36.42,8.32,1.2,1.88
